name;species;quantity;length;width;thickness;grade
Window Frame;Birch;1;4'-9";1'-0";5/4";3
Panel;Birch;32;9'-5";9'-4";8/4";3
Cabinet Door;Cherry;5;8'-9";10'-11";4/4";2
Floor Plank;Cedar;2;6'-0";2'-8";6/4";2
Support Beam;Oak;1;1'-1";2'-9";6/4";2
Window Frame;Birch;85;8'-1";1'-3";9/4";1
Support Beam;Cedar;21;5'-3";12'-5";10/4";3
Window Frame;Pine;59;1'-1";7'-4";10/4";1
Stair Tread;Pine;20;6'-10";12'-6";5/4";3
Trim Piece;Cherry;17;6'-3";11'-1";8/4";1
Floor Plank;Cherry;29;11'-8";12'-10";1/4";4
Window Frame;Birch;3;5'-5";4'-5";8/4";3
Floor Plank;Cedar;3;6'-3";1'-7";1/4";4
Shelf;Birch;13;7'-3";8'-5";7/4";1
Panel;Walnut;36;1'-0";1'-5";9/4";4
Window Frame;Walnut;1;4'-11";4'-10";1/4";4
Trim Piece;Maple;2;4'-8";1'-1";6/4";3
Trim Piece;Oak;7;8'-2";1'-3";5/4";3
Support Beam;Ash;2;6'-6";1'-4";3/4";3
Support Beam;Walnut;10;2'-6";8'-10";10/4";3
Panel;Ash;52;7'-0";12'-6";2/4";4
Panel;Ash;24;11'-2";2'-2";9/4";2
Cabinet Door;Maple;18;4'-10";11'-3";4/4";1
Trim Piece;Oak;1;3'-10";3'-2";1/4";1
Panel;Cedar;30;2'-6";11'-4";4/4";4
Chair Arm;Ash;2;12'-10";12'-10";3/4";1
Window Frame;Maple;51;3'-1";4'-9";8/4";3
Panel;Cherry;1;1'-2";1'-4";6/4";1
Trim Piece;Walnut;15;4'-5";2'-7";4/4";2
Panel;Ash;12;8'-5";5'-10";2/4";1
Window Frame;Cherry;17;6'-5";7'-3";4/4";4
Chair Arm;Cherry;12;10'-5";7'-3";6/4";2
Support Beam;Birch;100;4'-3";2'-2";6/4";4
Support Beam;Cedar;2;4'-2";1'-8";9/4";3
Window Frame;Ash;4;4'-4";1'-0";6/4";2
Floor Plank;Cherry;28;11'-0";3'-2";5/4";1
Shelf;Cherry;3;4'-0";1'-6";10/4";3
Chair Arm;Walnut;64;12'-2";11'-7";3/4";3
Cabinet Door;Ash;19;10'-6";1'-10";6/4";1
Table Leg;Walnut;1;5'-2";3'-11";4/4";3
Table Leg;Maple;1;6'-3";2'-10";3/4";3
Window Frame;Walnut;3;6'-4";4'-4";8/4";4
Trim Piece;Oak;21;8'-1";4'-6";2/4";3
Support Beam;Pine;1;1'-9";2'-3";9/4";4
Shelf;Birch;25;5'-7";7'-4";6/4";3
Shelf;Birch;52;3'-10";8'-7";9/4";2
Support Beam;Oak;50;6'-7";3'-10";7/4";4
Shelf;Pine;62;9'-11";6'-0";9/4";2
Table Leg;Birch;2;1'-6";4'-7";5/4";3
Cabinet Door;Maple;80;12'-5";2'-5";8/4";4
