ID;Location;Quantity;Length;Width;Thickness;Grade;Price;Description;Date;Species
1;Warehouse 1;25;3'-8";4'-11";3/4";4;3.59;Log;2024-01-21;Maple
2;Yard A;14;5'-8";8'-6";5/4";1;22.14;Log;2025-03-09;Pine
3;Depot Y;56;9'-5";8'-11";4/4";3;7.74;Bulk;N/A;Pine
4;Yard A;78;8'-1";2'-10";5/4";1;4.16;Log;2023-04-11;Oak
5;Warehouse 1;79;12'-6";1'-10";4/4";4;5.99;Piece;N/A;Cherry
6;Warehouse 2;48;10'-7";11'-7";2/4";2;9.16;Piece;N/A;Oak
7;Depot X;17;5'-6";6'-11";4/4";4;5.38;Bulk;N/A;Cedar
8;Warehouse 1;94;7'-9";10'-5";3/4";2;2.79;Piece;N/A;Cherry
9;Warehouse 2;28;11'-1";7'-8";5/4";4;11.66;Log;2025-01-08;Walnut
10;Yard B;23;7'-11";12'-10";7/4";2;14.22;Log;2025-01-20;Ash
11;Depot X;69;11'-6";3'-6";8/4";1;6.41;Log;2023-09-27;Ash
12;Depot Y;1;11'-7";7'-8";1/4";2;305.85;Bulk;N/A;Oak
13;Depot Y;9;7'-11";2'-0";6/4";4;43.81;Log;2023-12-11;Walnut
14;Warehouse 1;94;7'-6";3'-8";3/4";1;3.02;Piece;N/A;Ash
15;Depot X;46;8'-11";4'-1";3/4";2;3.6;Piece;N/A;Cedar
16;Warehouse 2;27;7'-6";10'-1";9/4";1;3.45;Log;2025-02-08;Cedar
17;Warehouse 2;12;10'-8";8'-4";8/4";3;5.4;Log;2025-02-01;Maple
18;Yard A;61;6'-7";11'-5";9/4";2;1.45;Piece;N/A;Oak
19;Depot Y;100;5'-4";6'-3";6/4";3;0.22;Piece;N/A;Birch
20;Depot X;57;3'-3";8'-0";4/4";1;1.07;Piece;N/A;Ash
21;Yard B;72;8'-9";9'-4";3/4";1;6.31;Log;2025-03-16;Cedar
22;Warehouse 1;71;8'-5";7'-0";9/4";4;1.43;Log;2023-05-20;Ash
23;Depot Y;84;2'-6";4'-8";9/4";4;1.91;Log;2024-11-21;Cherry
24;Yard B;46;2'-7";12'-11";9/4";3;7.56;Bulk;N/A;Walnut
25;Yard A;52;9'-6";3'-7";5/4";3;2.72;Bulk;N/A;Walnut
26;Yard A;62;5'-11";4'-2";4/4";2;1.19;Log;2023-12-13;Cedar
27;Warehouse 1;7;5'-10";11'-9";5/4";2;53.89;Bulk;N/A;Maple
28;Warehouse 1;81;6'-10";5'-1";2/4";1;3.17;Piece;N/A;Maple
29;Warehouse 2;28;10'-8";3'-11";1/4";3;12.75;Log;2024-02-14;Cherry
30;Warehouse 2;69;1'-10";4'-5";7/4";3;6.14;Bulk;N/A;Pine
31;Yard A;11;10'-9";1'-9";4/4";3;7.07;Bulk;N/A;Ash
32;Warehouse 2;43;11'-5";1'-2";1/4";4;8.95;Piece;N/A;Maple
33;Warehouse 1;92;2'-9";6'-10";7/4";4;3.69;Bulk;N/A;Birch
34;Yard B;20;11'-5";10'-5";9/4";4;2.15;Log;2024-09-01;Maple
35;Warehouse 2;65;8'-11";2'-5";2/4";2;3.13;Log;2023-03-02;Pine
36;Depot Y;37;3'-1";5'-4";1/4";2;4.17;Log;2024-04-20;Oak
37;Depot Y;80;1'-0";11'-2";9/4";4;1.16;Log;2024-08-19;Oak
38;Warehouse 2;90;4'-3";1'-7";4/4";3;4.83;Piece;N/A;Walnut
39;Warehouse 1;10;12'-11";12'-2";7/4";2;9.79;Piece;N/A;Maple
40;Depot X;28;10'-6";4'-6";1/4";1;15.04;Piece;N/A;Birch
41;Warehouse 2;86;8'-7";7'-3";1/4";3;0.24;Bulk;N/A;Maple
42;Yard A;65;3'-3";2'-1";5/4";1;2.77;Bulk;N/A;Walnut
43;Warehouse 2;76;2'-3";1'-10";2/4";2;0.64;Piece;N/A;Cherry
44;Depot X;82;8'-9";2'-6";9/4";4;4.96;Bulk;N/A;Pine
45;Depot Y;28;12'-1";9'-7";5/4";4;6.2;Log;2023-07-11;Maple
46;Depot X;92;8'-6";7'-7";9/4";1;1.35;Piece;N/A;Maple
47;Yard A;26;11'-5";5'-5";8/4";4;8.44;Bulk;N/A;Cedar
48;Warehouse 2;24;9'-3";10'-10";8/4";4;12.66;Log;2024-06-29;Pine
49;Warehouse 2;9;2'-5";10'-9";6/4";2;43.23;Bulk;N/A;Birch
50;Depot X;30;2'-8";1'-9";10/4";4;8.15;Bulk;N/A;Walnut
51;Yard A;43;12'-2";9'-7";8/4";4;3.26;Piece;N/A;Ash
52;Depot Y;61;11'-9";5'-3";5/4";1;1.24;Log;2024-07-11;Pine
53;Yard B;60;4'-2";2'-3";3/4";2;6.36;Bulk;N/A;Cherry
54;Yard B;47;7'-8";7'-0";7/4";2;4.76;Bulk;N/A;Pine
55;Depot Y;49;7'-7";3'-1";8/4";4;8.76;Log;2023-04-04;Pine
56;Yard A;55;11'-5";10'-11";5/4";1;8.93;Piece;N/A;Oak
57;Yard B;31;3'-8";5'-11";8/4";2;13.13;Bulk;N/A;Walnut
58;Depot Y;90;12'-9";6'-9";3/4";4;1.65;Log;2023-12-07;Cedar
59;Depot Y;53;12'-3";9'-3";7/4";1;4.42;Bulk;N/A;Cherry
60;Depot Y;33;12'-1";5'-4";1/4";2;12.82;Bulk;N/A;Pine
61;Warehouse 2;74;7'-9";10'-8";6/4";4;0.38;Bulk;N/A;Oak
62;Warehouse 2;58;8'-5";5'-1";2/4";2;4.19;Piece;N/A;Ash
63;Warehouse 1;54;8'-9";11'-8";10/4";3;6.19;Bulk;N/A;Cedar
64;Yard A;99;7'-0";4'-9";9/4";1;4.79;Piece;N/A;Maple
65;Warehouse 1;32;9'-9";10'-0";3/4";1;7.81;Log;2024-10-28;Ash
66;Yard A;72;4'-5";9'-6";5/4";1;2.73;Log;2024-04-25;Cherry
67;Warehouse 1;91;9'-5";4'-2";7/4";2;1.23;Bulk;N/A;Ash
68;Yard A;79;12'-8";7'-4";9/4";3;4.39;Piece;N/A;Pine
69;Warehouse 1;19;4'-4";12'-10";6/4";2;16.7;Piece;N/A;Birch
70;Depot X;46;6'-4";1'-5";9/4";3;6.03;Piece;N/A;Walnut
71;Yard A;3;4'-9";10'-3";3/4";1;141.68;Log;2024-05-20;Walnut
72;Depot X;34;2'-10";7'-7";8/4";1;11.71;Piece;N/A;Cedar
73;Yard A;91;6'-11";5'-7";5/4";2;2.75;Log;2024-02-01;Maple
74;Yard B;67;11'-2";6'-9";2/4";3;3.05;Bulk;N/A;Ash
75;Yard A;71;1'-7";3'-1";7/4";4;4.22;Log;2023-10-04;Cherry
76;Warehouse 2;41;2'-0";11'-3";3/4";4;7.49;Bulk;N/A;Pine
77;Yard B;43;9'-2";5'-1";1/4";1;1.51;Bulk;N/A;Birch
78;Depot X;30;9'-6";1'-1";1/4";2;5.93;Log;2023-08-06;Maple
79;Warehouse 1;61;11'-3";7'-4";9/4";4;1.1;Bulk;N/A;Walnut
80;Warehouse 1;77;6'-1";11'-0";8/4";3;0.96;Log;2023-03-11;Birch
81;Yard A;97;5'-11";7'-7";5/4";3;0.75;Piece;N/A;Maple
82;Yard A;92;3'-5";6'-9";5/4";2;0.35;Log;2023-06-21;Oak
83;Depot Y;19;4'-8";2'-10";6/4";1;2.9;Piece;N/A;Cedar
84;Warehouse 1;76;7'-10";12'-6";4/4";1;5.96;Bulk;N/A;Birch
85;Warehouse 2;54;6'-1";4'-3";7/4";4;2.02;Bulk;N/A;Oak
86;Depot X;29;8'-3";3'-2";2/4";1;6.43;Log;2024-11-05;Cedar
87;Depot X;42;7'-4";4'-2";7/4";1;5.67;Bulk;N/A;Birch
88;Warehouse 1;64;3'-2";11'-8";2/4";3;0.31;Log;2023-12-26;Ash
89;Warehouse 1;52;4'-4";7'-6";5/4";3;9.14;Bulk;N/A;Cedar
90;Depot Y;66;11'-11";6'-0";6/4";2;5.94;Piece;N/A;Maple
91;Depot Y;63;4'-2";8'-3";1/4";1;1.65;Bulk;N/A;Ash
92;Yard A;93;1'-6";7'-1";9/4";2;1.48;Log;2023-02-17;Cedar
93;Warehouse 1;95;11'-5";7'-0";4/4";4;3.77;Log;2023-03-23;Maple
94;Depot X;11;12'-1";11'-3";5/4";4;34.92;Piece;N/A;Pine
95;Warehouse 1;16;2'-11";8'-10";3/4";1;19.63;Piece;N/A;Walnut
96;Yard B;48;2'-2";8'-4";8/4";3;2.13;Piece;N/A;Birch
97;Warehouse 1;83;1'-3";1'-9";4/4";2;2.13;Piece;N/A;Cherry
98;Yard A;91;10'-3";9'-9";10/4";3;1.17;Log;2023-06-09;Cherry
99;Depot X;61;2'-5";2'-7";5/4";2;5.09;Bulk;N/A;Oak
100;Warehouse 2;73;9'-5";5'-2";3/4";4;0.71;Bulk;N/A;Birch
